,Set,NGenes,Direction,PValue,FDR
1,GOCC_GAMMA_DELTA_T_CELL_RECEPTOR_COMPLEX,3,Down,1.3729496734388e-05,0.172405436805084
2,GOBP_HEART_FIELD_SPECIFICATION,4,Up,4.94375902734008e-05,0.172405436805084
3,HP_BLURRED_VISION,13,Up,6.23998139653479e-05,0.172405436805084
4,GOBP_INTERCELLULAR_TRANSPORT,1,Up,8.67994647225093e-05,0.172405436805084
5,GOBP_OPTIC_NERVE_MORPHOGENESIS,1,Up,8.67994647225093e-05,0.172405436805084
6,GOBP_POSTSYNAPTIC_MEMBRANE_ASSEMBLY,1,Up,8.67994647225093e-05,0.172405436805084
7,GOBP_TRANS_SYNAPTIC_SIGNALING_MODULATING_SYNAPTIC_TRANSMISSION,1,Up,8.67994647225093e-05,0.172405436805084
8,GOMF_AXON_GUIDANCE_RECEPTOR_ACTIVITY,1,Up,8.67994647225093e-05,0.172405436805084
9,GOBP_RESPONSE_TO_INTERFERON_BETA,25,Up,9.88035630060526e-05,0.17444317957402
10,GOBP_RESPONSE_TO_TYPE_II_INTERFERON,91,Up,0.000121179703549899,0.192554548940789
11,GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,74,Up,0.000193579092905125,0.228254524727861
12,GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY,1,Down,0.000212291332071111,0.228254524727861
13,HP_CYANOTIC_EPISODE,2,Up,0.000213589954649431,0.228254524727861
14,GOBP_CELLULAR_HYPOTONIC_RESPONSE,7,Down,0.000240307473239124,0.228254524727861
15,GOBP_HYPOTONIC_RESPONSE,7,Down,0.000240307473239124,0.228254524727861
16,GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,44,Up,0.000240560569462037,0.228254524727861
17,GOMF_BENZODIAZEPINE_RECEPTOR_ACTIVITY,1,Down,0.000244199302729619,0.228254524727861
18,HP_PHOTOSENSITIVE_MYOCLONIC_SEIZURE,2,Up,0.000467701428659918,0.384132723243072
19,GOCC_SEPTIN_CYTOSKELETON,12,Down,0.000480341538816054,0.384132723243072
20,GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS,16,Up,0.000483489897096377,0.384132723243072
21,HP_ABNORMAL_URINE_OSMOLALITY,2,Down,0.000567412076642514,0.429341804659503
22,GOBP_ALKALOID_METABOLIC_PROCESS,1,Down,0.000675553822528466,0.466719575651188
23,GOBP_LIPID_HYDROXYLATION,1,Down,0.000675553822528466,0.466719575651188
24,GOMF_ANDROGEN_BINDING,4,Down,0.000746664044534149,0.481179098245578
25,GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,9,Down,0.000757047039404623,0.481179098245578
26,GOBP_SECONDARY_HEART_FIELD_SPECIFICATION,3,Up,0.000828632005186038,0.506421637015621
27,GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,13,Up,0.000902219370037885,0.522692915641615
28,HP_FOOD_ALLERGY,11,Down,0.000921044785271568,0.522692915641615
29,GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE,32,Up,0.00108000018356507,0.578007048478623
30,GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,48,Up,0.00114892396904035,0.578007048478623
31,HP_VASCULITIS_IN_THE_SKIN,6,Down,0.00117706377953101,0.578007048478623
32,GOBP_DEFENSE_RESPONSE_TO_VIRUS,235,Up,0.00118566153068207,0.578007048478623
33,GOCC_MICROTUBULE_MINUS_END,5,Down,0.00120039223409657,0.578007048478623
34,GOBP_GLIAL_CELL_ACTIVATION,34,Up,0.00129738717643358,0.581373693382611
35,HP_EXCESSIVE_BLEEDING_FROM_SUPERFICIAL_CUTS,3,Up,0.00132528560657326,0.581373693382611
36,GOMF_S100_PROTEIN_BINDING,11,Up,0.00134497660994478,0.581373693382611
37,GOBP_COMPLEMENT_DEPENDENT_CYTOTOXICITY,8,Down,0.00136124279346382,0.581373693382611
38,GOBP_POSITIVE_REGULATION_OF_MONOCYTE_EXTRAVASATION,4,Up,0.0014269083726823,0.581373693382611
39,GOBP_REGULATION_OF_MONOCYTE_EXTRAVASATION,4,Up,0.0014269083726823,0.581373693382611
40,GOBP_COMPLEMENT_ACTIVATION,27,Down,0.00152470166955097,0.605687738229124
41,GOBP_RESPONSE_TO_VIRUS,304,Up,0.00163314338783795,0.632942644701099
42,GOCC_SPINDLE_POLE_CENTROSOME,10,Down,0.00170117314777751,0.642027520235748
43,GOBP_SECONDARY_METABOLIC_PROCESS,23,Down,0.00173739354122952,0.642027520235748
44,HP_SKEWFOOT,3,Up,0.0018312064777639,0.656869512652743
45,GOMF_TRIGLYCERIDE_LIPASE_ACTIVITY,9,Down,0.00186023461732998,0.656869512652743
46,HP_RETROBULBAR_OPTIC_NEURITIS,12,Up,0.00206659073776559,0.694229912716387
