,Set,NGenes,Direction,PValue,FDR
1,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,40,Up,7.78369473134554e-07,0.0013154444095974
2,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,2.3226289952006e-06,0.00147320550170324
3,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,49,Up,2.61515769533119e-06,0.00147320550170324
4,REACTOME_PREDNISONE_ADME,2,Up,1.05182765671761e-05,0.0041729810199054
5,REACTOME_ACTIVATION_OF_C3_AND_C5,5,Up,1.23460976920278e-05,0.0041729810199054
6,REACTOME_DEFENSINS,4,Up,3.69827670584629e-05,0.0104168127214671
7,REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,8,Up,5.59573398022209e-05,0.0131023336077665
8,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,79,Up,6.20228809835102e-05,0.0131023336077665
9,REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,4,Up,9.79876773061852e-05,0.0146681640525049
10,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,0.000100169715386353,0.0146681640525049
11,REACTOME_BETA_DEFENSINS,3,Up,0.000102715157375357,0.0146681640525049
12,REACTOME_SELENOAMINO_ACID_METABOLISM,100,Up,0.000105746718580023,0.0146681640525049
13,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,10,Up,0.000119749051134231,0.0146681640525049
14,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,0.000121511418186431,0.0146681640525049
15,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,0.000259081633318595,0.0291898640205617
16,REACTOME_METALLOTHIONEINS_BIND_METALS,7,Up,0.000371142846469433,0.0392019631583339
17,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,0.000411546888607194,0.0395295884022672
18,REACTOME_COLLAGEN_DEGRADATION,14,Up,0.000421025201917639,0.0395295884022672
19,REACTOME_RESPONSE_TO_METAL_IONS,9,Up,0.000462296635913391,0.0411200691944017
20,REACTOME_HYDROLYSIS_OF_LPC,6,Up,0.000554848406992071,0.0454138137614013
21,REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC,2,Up,0.000586970768155546,0.0454138137614013
22,REACTOME_REELIN_SIGNALLING_PATHWAY,3,Up,0.00059118574127268,0.0454138137614013
23,REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,0.000842244658137032,0.0618866727065906
24,REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT,3,Up,0.000932887620340647,0.0627488627322328
25,REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,13,Up,0.000992942671527523,0.0627488627322328
26,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,46,Up,0.000997614809876906,0.0627488627322328
27,REACTOME_ASPIRIN_ADME,6,Up,0.00100249662353271,0.0627488627322328
28,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,9,Up,0.00125108104424639,0.0755116773134428
29,REACTOME_ANTIMICROBIAL_PEPTIDES,14,Up,0.00152267885593936,0.0887354229840522
30,REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT,6,Down,0.00160860318741535,0.0888182005078737
31,REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS,3,Down,0.00162920959511484,0.0888182005078737
32,REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION,17,Down,0.00239594952316633,0.126536084192222
33,REACTOME_SPERM_MOTILITY_AND_TAXES,4,Up,0.00386087377616088,0.197723535809451
34,REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION,2,Up,0.0041010332828066,0.199285308917324
35,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,105,Up,0.0041272105397079,0.199285308917324
36,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER,27,Down,0.00435366897840848,0.204380571486398
37,REACTOME_COLLAGEN_FORMATION,24,Up,0.00480633080669739,0.213966753263626
38,REACTOME_INFLUENZA_INFECTION,153,Up,0.00481108675977384,0.213966753263626
39,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,37,Up,0.00516860643682606,0.223972945595796
40,REACTOME_FIBRONECTIN_MATRIX_FORMATION,4,Up,0.00548510168544581,0.231745546210085
41,REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY,17,Down,0.00603565274066577,0.246415936511118
42,REACTOME_MRNA_SPLICING_MINOR_PATHWAY,50,Down,0.00612394635116389,0.246415936511118
43,REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS,3,Down,0.00649900743939275,0.255426106338924
44,REACTOME_MRNA_EDITING_C_TO_U_CONVERSION,2,Up,0.00698877322457266,0.268432426125632
45,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,166,Up,0.00755883298711318,0.283876172182695
