Set,N,DE,P.DE,FDR,DEG.GENES
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS,4,1,0.00380888468024387,1,NR1H3
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,5,1,0.00475895011853456,1,NR1H3
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,5,1,0.00475895011853456,1,NR1H3
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,115,2,0.00530815118011161,1,"CD1D,CD300A"
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,7,1,0.00665649929580203,1,NEIL2
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,8,1,0.00760398451204059,1,NR1H3
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,8,1,0.00760398451204059,1,CTSK
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,9,1,0.00855061113052458,1,NR1H3
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS,10,1,0.00949637988838936,1,LPAR3
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,12,1,0.0113853467678087,1,HRH4
REACTOME_CGMP_EFFECTS,12,1,0.0113853467678087,1,PDE9A
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,174,2,0.0117855056248392,1,"HRH4,LPAR3"
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,1,0.012328546360646,1,CTSK
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,16,1,0.0151530185668344,1,PDE9A
REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION,16,1,0.0151530185668344,1,NR1H3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,204,2,0.0159394903521911,1,"HRH4,LPAR3"
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,17,1,0.0160928028899735,1,NEIL2
REACTOME_GLUCONEOGENESIS,18,1,0.0170317352280871,1,SLC37A1
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,21,1,0.0198434276470298,1,BCAT1
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,22,1,0.0207789593568255,1,CTSK
REACTOME_GPCR_LIGAND_BINDING,240,2,0.0216313413270946,1,"HRH4,LPAR3"
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,27,1,0.025443907491593,1,NR1H3
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,707,3,0.0283570838912532,1,"CTSK,CD1D,CD300A"
REACTOME_SYNTHESIS_OF_PA,32,1,0.030087738247615,1,GPD1
REACTOME_ION_HOMEOSTASIS,35,1,0.03286393805802,1,CLIC2
REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,36,1,0.0337876592251086,1,NR1H3
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,36,1,0.0337876592251086,1,NR1H3
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,37,1,0.0347105422097548,1,NEIL2
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,42,1,0.0393124095958025,1,NR1H3
REACTOME_BASE_EXCISION_REPAIR,44,1,0.0411473144480443,1,NEIL2
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,44,1,0.0411473144480443,1,NR1H3
REACTOME_COLLAGEN_DEGRADATION,46,1,0.0429788895627283,1,CTSK
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,63,1,0.0584136464231341,1,NR1H3
REACTOME_PLATELET_HOMEOSTASIS,68,1,0.0629080838337287,1,PDE9A
REACTOME_SIGNALING_BY_GPCR,441,2,0.065322490182572,1,"HRH4,LPAR3"
REACTOME_GLUCOSE_METABOLISM,73,1,0.0673821359105185,1,SLC37A1
REACTOME_CARDIAC_CONDUCTION,76,1,0.0700568186593966,1,CLIC2
REACTOME_STIMULI_SENSING_CHANNELS,80,1,0.0736117282101523,1,CLIC2
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,86,1,0.0789198956590634,1,IGFBP2
REACTOME_INTERFERON_GAMMA_SIGNALING,90,1,0.082442607464584,1,GBP3
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,102,1,0.0929341095922472,1,CTSK
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,107,1,0.0972718468170809,1,NR1H3
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,109,1,0.0990014177837068,1,GPD1
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,111,1,0.100727840385863,1,CTSK
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,582,2,0.105182870482134,1,"CLIC2,NR1H3"
REACTOME_MUSCLE_CONTRACTION,128,1,0.115276082263039,1,CLIC2
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,132,1,0.118666555892867,1,LPAR3
REACTOME_ION_CHANNEL_TRANSPORT,140,1,0.125410508299287,1,CLIC2
REACTOME_METABOLISM_OF_LIPIDS,651,2,0.126655863491449,1,"NR1H3,GPD1"
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,162,1,0.143704513929466,1,CTSK
