Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,2,Up,5.31200830364203e-09,8.46521643268394e-05,LILRB2
GOBP_COLLAGEN_CATABOLIC_PROCESS,16,Up,2.32187523618942e-06,0.0185007018819573,MMP14
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,14,Up,6.8742007065317e-06,0.0365157541530964,""
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,13,Up,1.29952067709274e-05,0.0515925052964339,""
GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,2,Up,1.61874075352767e-05,0.0515925052964339,ARPIN
GOMF_MHC_PROTEIN_COMPLEX_BINDING,27,Up,2.16116471159986e-05,0.0574005347400923,LILRB2
GOMF_MHC_CLASS_IB_PROTEIN_BINDING,4,Up,2.85335133970507e-05,0.0649585813564856,LILRB2
GOBP_FC_RECEPTOR_MEDIATED_INHIBITORY_SIGNALING_PATHWAY,4,Up,4.67911312567659e-05,0.0932079334634776,LILRB2
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,5,Down,6.7617190008946e-05,0.106188491002146,""
GOMF_IMMUNE_RECEPTOR_ACTIVITY,65,Up,7.41200799103589e-05,0.106188491002146,LILRB2
HP_THYROIDITIS,34,Up,7.80223362195945e-05,0.106188491002146,""
GOBP_REGULATION_OF_MEMBRANE_INVAGINATION,11,Up,7.99612131040257e-05,0.106188491002146,""
GOMF_INHIBITORY_MHC_CLASS_I_RECEPTOR_ACTIVITY,5,Up,0.000113891492121116,0.139613447572469,LILRB2
GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,8,Up,0.000133683212993384,0.152169691590184,""
GOBP_RESPONSE_TO_OZONE,3,Down,0.000186504843895962,0.19814274615507,""
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,26,Up,0.000198994404528656,0.198198426910542,""
GOMF_MHC_CLASS_I_RECEPTOR_ACTIVITY,7,Up,0.00023414909915755,0.215442585045439,LILRB2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,30,Up,0.000243346293349517,0.215442585045439,""
HP_DOWNBEAT_NYSTAGMUS,5,Up,0.000269003896068194,0.225623478302249,""
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,18,Up,0.000343363354133258,0.26977576980717,""
GOBP_BONE_MARROW_DEVELOPMENT,7,Up,0.000361812380889583,0.26977576980717,""
GOCC_ENDOLYSOSOME_LUMEN,5,Up,0.000372431409121345,0.26977576980717,""
GOBP_PROPRIOCEPTION,2,Down,0.000391708382958321,0.271402816992339,""
HP_PERICARDITIS,22,Up,0.000460493609576188,0.305767756758589,""
GOMF_PIRNA_BINDING,1,Up,0.000502688063293555,0.320433479065844,""
GOBP_REGULATION_OF_PRESYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,3,Down,0.00068915883888041,0.421993239014837,""
GOBP_MONOACYLGLYCEROL_METABOLIC_PROCESS,11,Down,0.000714973484776645,0.421993239014837,""
HP_CONJUNCTIVAL_HYPEREMIA,4,Up,0.000767161327427028,0.436624389781326,""
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,26,Up,0.000809447081241059,0.444805127126122,MMP14
GOMF_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY,5,Down,0.00085904678200455,0.446508072820131,""
GOBP_RETINOL_METABOLIC_PROCESS,22,Down,0.000880601871761194,0.446508072820131,DHRS9
GOBP_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_APOPTOTIC_PROCESS,3,Up,0.000912900885618307,0.446508072820131,SYNE1
GOCC_SERINE_TYPE_ENDOPEPTIDASE_COMPLEX,5,Down,0.000963729501647408,0.446508072820131,""
GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,5,Down,0.000963729501647408,0.446508072820131,""
GOCC_SMN_SM_PROTEIN_COMPLEX,18,Up,0.000996600451110054,0.446508072820131,""
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,23,Up,0.00100867787534668,0.446508072820131,""
GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS,14,Up,0.0010773706224312,0.46402643889361,""
GOBP_NEGATIVE_REGULATION_OF_ACTIN_NUCLEATION,6,Up,0.00119738136326455,0.495283511667989,ARPIN
HP_ABNORMAL_CIRCULATING_GABA_CONCENTRATION,4,Down,0.0012594754864043,0.495283511667989,""
HP_CATAPLEXY,8,Up,0.00126338849055677,0.495283511667989,""
GOBP_CELL_PROLIFERATION_IN_BONE_MARROW,4,Up,0.00129773128367823,0.495283511667989,""
HP_ABNORMAL_ENERGY_EXPENDITURE,5,Down,0.00130534058045027,0.495283511667989,""
GOMF_AMYLOID_BETA_BINDING,50,Up,0.00136228413477969,0.504868836554633,LILRB2
HP_NREM_PARASOMNIA,9,Up,0.00143778741836217,0.520740461341352,""
HP_BARREL_SHAPED_CHEST,14,Down,0.00158118319724238,0.559949676250102,""
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION,8,Up,0.00166933604073016,0.560147934752039,LILRB2
HP_DECREASED_MUSCLE_MASS,40,Up,0.00167751393488797,0.560147934752039,""
HP_BONE_MARROW_FOAM_CELLS,5,Up,0.00169173664092868,0.560147934752039,""
HP_KERATITIS,45,Up,0.00173281694622624,0.560147934752039,""
HP_LIMITED_PRONATION_SUPINATION_OF_FOREARM,1,Up,0.00175749226516076,0.560147934752039,""
