,logFC,logCPM,LR,PValue,FDR
NREP,-1.35212730279904,2.08449609956784,35.2599563007708,2.88503406653738e-09,2.57957708858657e-05
PPBP,-4.78567243053524,3.73759782954786,34.3618093265369,4.57615236577358e-09,2.57957708858657e-05
CDCA7L,1.26646339153795,4.49971064994486,33.4603548896815,7.27315151596294e-09,2.73325033969887e-05
RPH3A,2.35282794688704,0.485874498314677,32.4688362495796,1.21119279594274e-08,3.41374689536461e-05
SELL,-1.88859605622416,0.498834953362496,29.2305574545992,6.42577733194314e-08,0.000144888427280654
HLA-DQA2,6.02846069158578,7.40055340315306,28.3404619676671,1.01746885584587e-07,0.000191182398013438
NUAK2,1.99960095919845,0.134197242778659,27.3386452310596,1.70764240485799e-07,0.000275028006748128
KLHDC7B,-1.2387073515074,1.49394920121909,26.9023401667308,2.13999610431451e-07,0.000301578951000523
RBM6,0.500248701585147,5.49222975471436,25.2295203646599,5.08971552862261e-07,0.000579861819691757
C3,2.86262114152913,2.85626096063865,25.2093011770874,5.14335479591766e-07,0.000579861819691757
ECE1,-1.50411140360567,0.935087191381874,23.4356522670279,1.29162443158349e-06,0.00132379762197021
EGFL7,-0.941723253721995,2.62403954039622,22.8962928453902,1.70981297608417e-06,0.00158254844304156
CSPG4,-1.69653851211015,1.60937212634324,22.6000751404038,1.99476804526586e-06,0.00158254844304156
VMO1,1.33144589900484,7.38618929224202,22.5237819592909,2.07558006580178e-06,0.00158254844304156
CCR1,-1.05853047721537,5.87183841759788,22.4962223254262,2.10557270229053e-06,0.00158254844304156
HELLS,1.08664571582131,1.48429593077033,21.9456824779957,2.80477183862425e-06,0.00197631235679061
CAVIN3,-0.915487189501702,2.85302134403849,21.446832730932,3.63776411438273e-06,0.00200135751196462
AR,1.18900792522255,3.95761661435801,21.4325228212532,3.66501445745872e-06,0.00200135751196462
EMP1,-1.94850604338078,2.47829560664363,21.3861844563621,3.75467009530209e-06,0.00200135751196462
YPEL2,0.5504334782742,4.75790929264912,21.334068398631,3.85813682233613e-06,0.00200135751196462
CCND3,-0.424172769945552,7.49245728093517,21.3069751346351,3.91305089538562e-06,0.00200135751196462
ARHGAP24,1.0499900399531,4.84037035530505,21.2753119770631,3.97822224362132e-06,0.00200135751196462
FCN1,2.11393491933136,4.27814233369961,21.1873188295215,4.1651128468127e-06,0.00200135751196462
PADI2,4.02546364270412,3.40334686534571,21.1439354174487,4.26047368167028e-06,0.00200135751196462
AQP3,-0.750694486798496,7.68761644616648,20.9880754660477,4.62150893662669e-06,0.00208411567006117
LINC00685,1.19352072136666,3.72492485456479,20.6476373629734,5.52052676315638e-06,0.00238006048178058
NAA38,0.427896453858714,6.63315495594216,20.5863916415924,5.69998518787261e-06,0.00238006048178058
MEG8,1.33097072650877,0.606830098398226,20.4282911789142,6.19078097416989e-06,0.00249267373938541
FAM216A,1.38104286497221,0.629875928210903,20.1290593028017,7.23884457253544e-06,0.00281416323140567
HMGB2,0.664494551009624,5.70037778975302,19.7661317779654,8.75198513926407e-06,0.00328899601533544
DLG2,-1.79588684505242,0.393561017575486,19.678570808884,9.16230787373566e-06,0.0033321244828547
SVIP,0.987493702465926,3.18530458311288,19.553908681758,9.78004314275181e-06,0.00344563144973075
TBC1D30,0.869060206486151,1.8205583693657,19.4642319848471,1.02501222854236e-05,0.00350181450442016
PLEKHG2,1.83682520578368,1.23253313482736,19.1185332630888,1.22846168756117e-05,0.00403060529855254
TNNI2,-0.651969933086191,6.98137283039894,19.0833827145436,1.25129666000833e-05,0.00403060529855254
CCDC88C,-1.44482008074018,0.753316238732986,18.9822627670928,1.31939269964015e-05,0.00413189813770639
