,Set,NGenes,Direction,PValue,FDR
1,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,14,Up,2.23367290820222e-08,0.000356605879794485
2,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Up,7.14725624639622e-08,0.000570529729868578
3,GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,10,Up,4.40191640897671e-07,0.00234255318231044
4,GOCC_CYTOSOLIC_RIBOSOME,111,Up,6.78152444479264e-07,0.00270667594402786
5,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,156,Up,2.30949798526191e-06,0.00737422706694128
6,HP_INCREASED_LAXITY_OF_FINGERS,3,Up,4.92096366167329e-06,0.0130938641431024
7,GOBP_VITAMIN_E_METABOLIC_PROCESS,2,Up,7.31149890245168e-06,0.0166754399968059
8,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,42,Up,9.95399874424611e-06,0.0198644487439861
9,HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY,26,Up,1.19403443904778e-05,0.0211808442437753
10,GOBP_PLASMA_MEMBRANE_RAFT_ASSEMBLY,3,Up,1.8824534481281e-05,0.0300533692993651
11,GOCC_PROTEIN_LIPID_COMPLEX,24,Up,3.08273981701883e-05,0.0447417647079142
12,HP_ERYTHROID_HYPOPLASIA,30,Up,3.40416244760658e-05,0.0452895445633659
13,GOCC_RIBOSOMAL_SUBUNIT,180,Up,4.05940791019479e-05,0.0488881178663963
14,HP_PURE_RED_CELL_APLASIA,27,Up,4.72999070767757e-05,0.0488881178663963
15,GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,9,Up,4.7574502935578e-05,0.0488881178663963
16,GOBP_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION,1,Down,5.03077282533649e-05,0.0488881178663963
17,GOMF_PHOSPHATIDYLCHOLINE_STEROL_O_ACYLTRANSFERASE_ACTIVATOR_ACTIVITY,2,Up,5.20575010165197e-05,0.0488881178663963
18,HP_ABNORMALITY_OF_THE_THENAR_EMINENCE,29,Up,6.17462576519745e-05,0.0525665411967212
19,GOBP_REVERSE_CHOLESTEROL_TRANSPORT,10,Up,7.4704493591676e-05,0.0525665411967212
20,GOBP_CYTOPLASMIC_TRANSLATION,150,Up,7.76631640114053e-05,0.0525665411967212
21,GOBP_XENOBIOTIC_METABOLIC_PROCESS,53,Up,7.85103297278549e-05,0.0525665411967212
22,HP_CIGARETTE_PAPER_SCARS,5,Up,7.86166783916276e-05,0.0525665411967212
23,GOMF_OXYGEN_BINDING,5,Up,8.72858763606424e-05,0.0525665411967212
24,GOBP_LIPID_HYDROXYLATION,2,Up,8.87982662799104e-05,0.0525665411967212
25,GOMF_AROMATASE_ACTIVITY,2,Up,8.87982662799104e-05,0.0525665411967212
26,GOMF_ESTROGEN_16_ALPHA_HYDROXYLASE_ACTIVITY,2,Up,8.87982662799104e-05,0.0525665411967212
27,HP_OSTEOSARCOMA,36,Up,8.89005081310036e-05,0.0525665411967212
28,HP_NORMOCHROMIC_ANEMIA,36,Up,0.00010659664536257,0.0607791229719083
29,GOBP_CADMIUM_ION_TRANSMEMBRANE_TRANSPORT,4,Up,0.00012035529670763,0.0662576659288727
30,GOCC_LARGE_RIBOSOMAL_SUBUNIT,109,Up,0.000126052976167926,0.0667354353311883
31,GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION,30,Up,0.000129583369575123,0.0667354353311883
32,GOMF_PROTEIN_GLUTAMINE_GAMMA_GLUTAMYLTRANSFERASE_ACTIVITY,1,Up,0.000144751184417824,0.072217270600955
33,HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND,34,Up,0.000154713339659321,0.0748484384139715
34,GOMF_ALDOSE_REDUCTASE_NADPH_ACTIVITY,7,Up,0.000166720206914124,0.0782849442171763
35,GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING,16,Up,0.000189384178109817,0.0863862401006638
36,GOBP_RETINOIC_ACID_METABOLIC_PROCESS,10,Up,0.00019928529846688,0.088377494167326
37,GOMF_ADRENERGIC_RECEPTOR_ACTIVITY,1,Down,0.000210740346759743,0.0909316117843055
38,GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,8,Down,0.000225052081429608,0.0945514863164131
39,GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX,9,Down,0.000232324873235186,0.0951042718256344
40,GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,9,Down,0.00025831084510629,0.102313241172487
41,GOCC_CYTOCHROME_COMPLEX,28,Up,0.000262752451492138,0.102313241172487
42,HP_RETICULOCYTOPENIA,33,Up,0.000300266707986693,0.111680284750369
