Set,N,DE,P.DE,FDR,DEG.GENES
GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING,205,2,0.000268295548745611,1,"CCL4,ADM"
GOBP_FRUCTOSE_2_6_BISPHOSPHATE_METABOLIC_PROCESS,5,1,0.000695700546521683,1,PFKFB3
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS,5,1,0.000695700546521683,1,CCL4
GOBP_PROGESTERONE_BIOSYNTHETIC_PROCESS,5,1,0.000695700546521683,1,ADM
GOMF_CCR1_CHEMOKINE_RECEPTOR_BINDING,5,1,0.000695700546521683,1,CCL4
GOMF_FRUCTOSE_2_6_BISPHOSPHATE_2_PHOSPHATASE_ACTIVITY,5,1,0.000695700546521683,1,PFKFB3
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,341,2,0.000740662780419312,1,"CCL4,ADM"
GOMF_CCR5_CHEMOKINE_RECEPTOR_BINDING,6,1,0.000834801924508133,1,CCL4
GOBP_CALCITONIN_FAMILY_RECEPTOR_SIGNALING_PATHWAY,7,1,0.000973890393452415,1,ADM
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS,7,1,0.000973890393452415,1,CCL4
GOMF_CARBOHYDRATE_PHOSPHATASE_ACTIVITY,7,1,0.000973890393452415,1,PFKFB3
GOMF_PHOSPHOFRUCTOKINASE_ACTIVITY,7,1,0.000973890393452415,1,PFKFB3
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION,8,1,0.00111296595395471,1,ADM
GOBP_POSITIVE_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS,8,1,0.00111296595395471,1,ADM
GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS,9,1,0.00125202860661311,1,CCL4
GOBP_NEGATIVE_REGULATION_OF_VASOCONSTRICTION,10,1,0.00139107835202701,1,ADM
GOBP_POSITIVE_REGULATION_OF_VASCULOGENESIS,10,1,0.00139107835202701,1,ADM
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DEVELOPMENT,10,1,0.00139107835202701,1,ADM
GOBP_BRANCHING_INVOLVED_IN_LABYRINTHINE_LAYER_MORPHOGENESIS,12,1,0.00166913912351752,1,ADM
GOBP_FRUCTOSE_METABOLIC_PROCESS,12,1,0.00166913912351752,1,PFKFB3
GOBP_NEGATIVE_ADAPTATION_OF_SIGNALING_PATHWAY,12,1,0.00166913912351752,1,ADM
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION,13,1,0.00180815015079228,1,CCL4
GOBP_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS,13,1,0.00180815015079228,1,ADM
GOBP_REGULATION_OF_VASCULOGENESIS,13,1,0.00180815015079228,1,ADM
GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS,14,1,0.00194714827321785,1,ADM
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_PERMEABILITY,14,1,0.00194714827321785,1,ADM
GOBP_PROGESTERONE_METABOLIC_PROCESS,14,1,0.00194714827321785,1,ADM
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION,14,1,0.00194714827321785,1,ADM
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,602,2,0.00229245449545432,1,"CCL4,ADM"
GOBP_POSITIVE_REGULATION_OF_HEART_RATE,17,1,0.00236406521739607,1,ADM
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,17,1,0.00236406521739607,1,CCL4
GOBP_REGULATION_OF_URINE_VOLUME,17,1,0.00236406521739607,1,ADM
GOBP_REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS,18,1,0.00250301172641898,1,ADM
GOMF_CARBOHYDRATE_KINASE_ACTIVITY,19,1,0.00264194533358852,1,PFKFB3
GOBP_LABYRINTHINE_LAYER_MORPHOGENESIS,20,1,0.00278086603950356,1,ADM
GOBP_OLEFINIC_COMPOUND_BIOSYNTHETIC_PROCESS,20,1,0.00278086603950356,1,ADM
GOBP_POSITIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS,20,1,0.00278086603950356,1,ADM
GOBP_CARBOHYDRATE_PHOSPHORYLATION,21,1,0.00291977384476316,1,PFKFB3
GOBP_REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS,21,1,0.00291977384476316,1,ADM
GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,22,1,0.00305866874996641,1,CCL4
GOBP_ANDROGEN_METABOLIC_PROCESS,23,1,0.00319755075571393,1,ADM
GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS,23,1,0.00319755075571393,1,ADM
GOBP_EOSINOPHIL_MIGRATION,23,1,0.00319755075571393,1,CCL4
GOBP_INFLAMMATORY_RESPONSE,716,2,0.00323210751374427,1,"CCL4,ADM"
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,24,1,0.00333641986260136,1,ADM
GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,25,1,0.0034752760712311,1,ADM
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS,26,1,0.00361411938219958,1,ADM
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,29,1,0.00403057193513701,1,CCL4
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS,33,1,0.00458566147481898,1,ADM
GOBP_STEROID_HORMONE_BIOSYNTHETIC_PROCESS,33,1,0.00458566147481898,1,ADM
